id,name
1,Curls
2,Push-ups
3,Plank
4,Squats
5,Lunge
6,Deadlift
7,Bench Press
8,Overhead Press
9,Romanian Deadlift
10,Calf Raise
11,Dumb Bell Row
12,Lawnmowers
13,EZ-Bar Curl
14,Seated Incline Dumbell Row
15,Chin-up
16,Pull-up
17,Weighted Pull-up
18,Dumbell Romanian Deadlift
19,Dumbell Lunge
20,Bent Over Row
21,Single-Arm Row
22,Side Plank
23,Bent Over Lateral Raise
24,Step-up
25,Dumbell Squat
26,One-arm Snatch
27,Kettlebell Swing
28,Chest Press
29,Shoulder Row
30,Leg Press
31,Bicep Curl w/Bands
32,Jump Squat
33,Dip
34,Close-Grip Push up
35,Hammer Curl
36,Fat Grip Hammer Curl
37,EZ-Bar Preacher Curl
38,Poundstone Curl
39,Weighted Sit-up
40,Reverse Curl
41,Threadmill
42,Wide-grip Curl
43,Zottman Curl
44,Dumbell Lateral Raise
45,Sit-ups
46,Russian Twist
47,Wall Squat
48,Jumping Jack
49,Wide-Grip Pull-up
50,Wide Push-up